ticket,open_time,type,size,symbol,open_price,sl,tp,close_time,close_price,commission,taxes,swap,profit,comment
110137223,2026.02.03 20:49:15,buy,0.60,usdjpy,155.719,0.000,0.000,2026.02.04 02:05:00,155.899,0.00,0.00,0.76,69.28,#400 230417_RandomWalk_YHH_unlimited
110182031,2026.02.04 02:05:00,buy,0.60,usdjpy,155.914,0.000,0.000,2026.02.04 03:10:00,156.118,0.00,0.00,0.00,78.40,#400 230417_RandomWalk_YHH_unlimited
110160690,2026.02.03 22:35:00,buy,0.60,gbpusd,1.36937,0.00000,0.00000,2026.02.04 03:20:01,1.37063,0.00,0.00,-1.71,75.60,#200 230417_RandomWalk_YHH_unlimited
110160689,2026.02.03 22:35:00,buy,0.60,audusd,0.70184,0.00000,0.00000,2026.02.04 03:25:00,0.70353,0.00,0.00,-0.78,101.40,#600 230417_RandomWalk_YHH_unlimited
110193134,2026.02.04 03:10:00,buy,0.60,usdjpy,156.134,0.000,0.000,2026.02.04 05:20:00,156.326,0.00,0.00,0.00,73.69,#400 230417_RandomWalk_YHH_unlimited
110195253,2026.02.04 03:20:01,buy,0.60,gbpusd,1.37080,0.00000,0.00000,2026.02.04 07:45:04,1.37183,0.00,0.00,0.00,61.80,#200 230417_RandomWalk_YHH_unlimited
110137232,2026.02.03 20:49:16,sell,0.60,usdcad,1.36476,0.00000,0.00000,2026.02.04 08:15:02,1.36318,0.00,0.00,-3.23,69.54,#500 230417_RandomWalk_YHH_unlimited
110212217,2026.02.04 05:20:00,buy,0.60,usdjpy,156.339,0.000,0.000,2026.02.04 11:35:00,156.505,0.00,0.00,0.00,63.64,#400 230417_RandomWalk_YHH_unlimited
110293951,2026.02.04 11:35:00,buy,0.60,usdjpy,156.520,0.000,0.000,2026.02.04 12:20:00,156.683,0.00,0.00,0.00,62.42,#400 230417_RandomWalk_YHH_unlimited
110178016,2026.02.04 01:30:00,buy,0.60,usdchf,0.77602,0.00000,0.00000,2026.02.04 12:35:00,0.77699,0.00,0.00,0.00,74.90,#100 230417_RandomWalk_YHH_unlimited
110137228,2026.02.03 20:49:16,buy,0.60,usdcad,1.36493,0.00000,0.00000,2026.02.04 12:50:01,1.36633,0.00,0.00,1.63,61.48,#500 230417_RandomWalk_YHH_unlimited
110297061,2026.02.04 12:00:01,sell,1.20,usdjpy,156.638,0.000,0.000,2026.02.04 16:00:00,156.481,0.00,0.00,0.00,120.40,#401 230417_RandomWalk_YHH_unlimited
110137233,2026.02.03 20:49:16,sell,0.60,gbpusd,1.36796,0.00000,0.00000,2026.02.04 17:05:00,1.36820,0.00,0.00,-1.63,-14.40,#200 230417_RandomWalk_YHH_unlimited
110201443,2026.02.04 04:00:00,sell,0.60,gbpusd,1.37060,0.00000,0.00000,2026.02.04 17:05:00,1.36820,0.00,0.00,0.00,144.00,#200 230417_RandomWalk_YHH_unlimited
110137234,2026.02.03 20:49:16,sell,0.60,eurusd,1.18128,0.00000,0.00000,2026.02.04 17:35:00,1.18003,0.00,0.00,0.91,75.00,#300 230417_RandomWalk_YHH_unlimited
110363315,2026.02.04 17:05:01,sell,0.60,gbpusd,1.36804,0.00000,0.00000,2026.02.04 17:35:00,1.36659,0.00,0.00,0.00,87.00,#200 230417_RandomWalk_YHH_unlimited
110166096,2026.02.03 23:00:00,sell,0.60,audusd,0.70203,0.00000,0.00000,2026.02.04 18:00:00,0.69990,0.00,0.00,-1.31,127.80,#600 230417_RandomWalk_YHH_unlimited
110141043,2026.02.03 21:05:02,sell,0.60,audusd,0.69930,0.00000,0.00000,2026.02.04 18:00:01,0.69988,0.00,0.00,-1.31,-34.80,#600 230417_RandomWalk_YHH_unlimited
110302475,2026.02.04 12:50:03,buy,0.60,usdcad,1.36644,0.00000,0.00000,2026.02.04 18:05:00,1.36782,0.00,0.00,0.00,60.53,#500 230417_RandomWalk_YHH_unlimited
110373254,2026.02.04 17:35:00,sell,0.60,gbpusd,1.36646,0.00000,0.00000,2026.02.04 18:15:00,1.36502,0.00,0.00,0.00,86.40,#200 230417_RandomWalk_YHH_unlimited
110383447,2026.02.04 18:00:01,sell,0.60,audusd,0.69971,0.00000,0.00000,2026.02.04 18:45:00,0.69853,0.00,0.00,0.00,70.80,#600 230417_RandomWalk_YHH_unlimited
110299335,2026.02.04 12:20:01,buy,0.60,usdjpy,156.697,0.000,0.000,2026.02.04 21:30:02,156.856,0.00,0.00,0.00,60.82,#400 230417_RandomWalk_YHH_unlimited
110388907,2026.02.04 18:15:01,sell,0.60,gbpusd,1.36486,0.00000,0.00000,2026.02.05 04:15:00,1.36355,0.00,0.00,-4.90,78.60,#200 230417_RandomWalk_YHH_unlimited
110399754,2026.02.04 18:45:00,sell,0.60,audusd,0.69841,0.00000,0.00000,2026.02.05 04:20:00,0.69721,0.00,0.00,-3.78,72.00,#600 230417_RandomWalk_YHH_unlimited
110373255,2026.02.04 17:35:00,sell,0.60,eurusd,1.17989,0.00000,0.00000,2026.02.05 04:55:06,1.17881,0.00,0.00,2.62,64.80,#300 230417_RandomWalk_YHH_unlimited
110484862,2026.02.05 04:15:01,sell,0.60,gbpusd,1.36338,0.00000,0.00000,2026.02.05 05:00:00,1.36220,0.00,0.00,0.00,70.80,#200 230417_RandomWalk_YHH_unlimited
110301048,2026.02.04 12:35:02,buy,0.60,usdchf,0.77714,0.00000,0.00000,2026.02.05 05:00:02,0.77784,0.00,0.00,9.95,54.00,#100 230417_RandomWalk_YHH_unlimited
110440617,2026.02.04 21:30:03,buy,0.60,usdjpy,156.869,0.000,0.000,2026.02.05 09:15:00,157.044,0.00,0.00,2.28,66.86,#400 230417_RandomWalk_YHH_unlimited
110497841,2026.02.05 05:00:00,sell,0.60,gbpusd,1.36203,0.00000,0.00000,2026.02.05 10:50:00,1.36057,0.00,0.00,0.00,87.60,#200 230417_RandomWalk_YHH_unlimited
110583580,2026.02.05 10:50:00,sell,0.60,gbpusd,1.36040,0.00000,0.00000,2026.02.05 11:05:01,1.35938,0.00,0.00,0.00,61.20,#200 230417_RandomWalk_YHH_unlimited
110385369,2026.02.04 18:05:00,buy,0.60,usdcad,1.36799,0.00000,0.00000,2026.02.05 11:10:00,1.36935,0.00,0.00,1.78,59.59,#500 230417_RandomWalk_YHH_unlimited
110587472,2026.02.05 11:05:01,sell,0.60,gbpusd,1.35923,0.00000,0.00000,2026.02.05 11:15:01,1.35801,0.00,0.00,0.00,73.20,#200 230417_RandomWalk_YHH_unlimited
110557014,2026.02.05 09:15:00,buy,0.60,usdjpy,157.067,0.000,0.000,2026.02.05 11:30:00,157.247,0.00,0.00,0.00,68.68,#400 230417_RandomWalk_YHH_unlimited
110590329,2026.02.05 11:15:01,sell,0.60,gbpusd,1.35785,0.00000,0.00000,2026.02.05 11:45:00,1.35596,0.00,0.00,0.00,113.40,#200 230417_RandomWalk_YHH_unlimited
110510031,2026.02.05 06:00:00,buy,1.20,gbpusd,1.36261,0.00000,0.00000,2026.02.05 13:30:00,1.36050,0.00,0.00,0.00,-253.20,#201 230417_RandomWalk_YHH_unlimited
110598695,2026.02.05 12:00:03,buy,1.20,gbpusd,1.35666,0.00000,0.00000,2026.02.05 13:30:00,1.36059,0.00,0.00,0.00,471.60,#201 230417_RandomWalk_YHH_unlimited
110608155,2026.02.05 13:00:00,sell,0.60,gbpusd,1.35868,0.00000,0.00000,2026.02.05 14:10:00,1.35672,0.00,0.00,0.00,117.60,#200 230417_RandomWalk_YHH_unlimited
110595977,2026.02.05 11:45:00,sell,0.60,gbpusd,1.35581,0.00000,0.00000,2026.02.05 14:10:01,1.35672,0.00,0.00,0.00,-54.60,#200 230417_RandomWalk_YHH_unlimited
110618485,2026.02.05 14:10:01,sell,0.60,gbpusd,1.35653,0.00000,0.00000,2026.02.05 14:20:00,1.35537,0.00,0.00,0.00,69.60,#200 230417_RandomWalk_YHH_unlimited
110137231,2026.02.03 20:49:16,sell,0.60,usdchf,0.77503,0.00000,0.00000,2026.02.05 14:50:01,0.77581,0.00,0.00,-32.40,-60.32,#100 230417_RandomWalk_YHH_unlimited
110497883,2026.02.05 05:00:03,sell,0.60,usdchf,0.77784,0.00000,0.00000,2026.02.05 14:50:01,0.77581,0.00,0.00,0.00,157.00,#100 230417_RandomWalk_YHH_unlimited
110631453,2026.02.05 14:50:02,sell,0.60,usdchf,0.77580,0.00000,0.00000,2026.02.05 15:40:00,0.77500,0.00,0.00,0.00,61.94,#100 230417_RandomWalk_YHH_unlimited
110337319,2026.02.04 16:00:00,sell,1.20,usdjpy,156.471,0.000,0.000,2026.02.05 15:45:00,156.642,0.00,0.00,-41.67,-131.00,#401 230417_RandomWalk_YHH_unlimited
110436683,2026.02.04 21:00:01,sell,1.20,usdjpy,156.770,0.000,0.000,2026.02.05 15:45:00,156.642,0.00,0.00,-41.67,98.06,#401 230417_RandomWalk_YHH_unlimited
110570147,2026.02.05 10:00:00,sell,1.20,usdjpy,157.117,0.000,0.000,2026.02.05 15:45:00,156.640,0.00,0.00,0.00,365.42,#401 230417_RandomWalk_YHH_unlimited
110383434,2026.02.04 18:00:00,buy,0.60,eurusd,1.17970,0.00000,0.00000,2026.02.05 16:15:00,1.18203,0.00,0.00,-13.73,139.80,#300 230417_RandomWalk_YHH_unlimited
110169186,2026.02.03 23:15:13,buy,0.60,eurusd,1.18258,0.00000,0.00000,2026.02.05 16:15:01,1.18201,0.00,0.00,-18.34,-34.20,#300 230417_RandomWalk_YHH_unlimited
110621243,2026.02.05 14:20:00,sell,0.60,gbpusd,1.35518,0.00000,0.00000,2026.02.05 16:50:00,1.35476,0.00,0.00,0.00,25.20,#200 230417_RandomWalk_YHH_unlimited
110633868,2026.02.05 15:00:00,sell,0.60,gbpusd,1.35803,0.00000,0.00000,2026.02.05 16:50:00,1.35473,0.00,0.00,0.00,198.00,#200 230417_RandomWalk_YHH_unlimited
110486538,2026.02.05 04:20:00,sell,0.60,audusd,0.69709,0.00000,0.00000,2026.02.05 17:15:00,0.69587,0.00,0.00,0.00,73.20,#600 230417_RandomWalk_YHH_unlimited
110667747,2026.02.05 16:50:01,sell,0.60,gbpusd,1.35464,0.00000,0.00000,2026.02.05 17:30:00,1.35358,0.00,0.00,0.00,63.60,#200 230417_RandomWalk_YHH_unlimited
